Title,Link,Image URL,Original Price,Discounted Price,Weight,Dimensions,Brand,Bowling Ball Coverstock Type,Bowling Ball Cover Name,Bowling Ball Core Name,Bowling Ball Core Shape,Radius of Gyration: RG (15LB),Differential: Diff (15LB),Mass Bias Strength,Flare Potential,Surface Finish,Scent,Ball Lane Conditions,Ball Performance Level,Bowling Ball Color,Ball Weight,Release Date,B.M.W
SWAG Dynamite War Rare Series Bowling Ball,https://www.bowlersmart.com/product/swag-dynamite-war-rare-series-bowling-ball/,https://www.bowlersmart.com/wp-content/uploads/2025/05/SWAG-Dynamite-War-Rare-Series-Bowling-Ball.webp?w=300&h=300&crop=1,$289.95,$179.95,15 lbs,10 × 10 × 10 in,SWAG,Pearl Reactive,SWAG USY 3 Pearl Reactive,Swag Turbine V2 Core,Symmetrical Core,2.52,.049,N/A,4 – 5 Inches,2000 Grit,None,Medium – Heavy Oil,"High Performance Bowling Balls,SWAG Utility Performance",Red,"13LB,14LB,15LB,16LB",,
Storm Tropical Surge Red White Purple Bowling Ball,https://www.bowlersmart.com/product/storm-tropical-surge-red-white-purple-bowling-ball/,https://www.bowlersmart.com/wp-content/uploads/2025/05/Tropical-Surge_Red-White-Purple_NoShadow.webp?w=300&h=300&crop=1,$139.95,$99.95,15 lbs,9 × 9 × 9 in,Storm,Pearl Reactive,Storm Reactor Pearl Reactive,Storm Surge Core,Symmetrical Core,2.58,.024,N/A,1 – 2 Inches,1500 Grit Polish,Root Beer Float,Dry – Medium Oil,"Entry Level Novice Bowling Balls,Storm Tropical Line","Purple,Silver","10LB,11LB,12LB,13LB,14LB,15LB,16LB",,
Storm Tropical Surge Silver Purple Bowling Ball,https://www.bowlersmart.com/product/storm-tropical-surge-silver-purple-bowling-ball/,https://www.bowlersmart.com/wp-content/uploads/2025/05/Tropical-Surge_Silver-Purple_NoShadow.webp?w=300&h=300&crop=1,$139.95,$99.95,15 lbs,9 × 9 × 9 in,Storm,Pearl Reactive,Storm Reactor Pearl Reactive,Storm Surge Core,Symmetrical Core,2.58,.024,N/A,1 – 2 Inches,1500 Grit Polish,Red Hot Cinnamon,Dry – Medium Oil,"Entry Level Novice Bowling Balls,Storm Tropical Line","Purple,Silver","10LB,11LB,12LB,13LB,14LB,15LB,16LB",,
Storm Tropical Surge Black Blue Pink Bowling Ball,https://www.bowlersmart.com/product/storm-tropical-surge-black-blue-pink-bowling-ball/,https://www.bowlersmart.com/wp-content/uploads/2025/05/Tropical-Surge_Black-Blue-Pink_NoShadow.webp?w=300&h=300&crop=1,$139.95,$99.95,15 lbs,9 × 9 × 9 in,Storm,Reactive,Storm Reactor Solid Reactive,Storm Surge Core,Symmetrical Core,2.58,.024,N/A,1 – 2 Inches,1500 Grit Polish,Vanilla,Dry – Medium Oil,"Entry Level Novice Bowling Balls,Storm Tropical Line","Black,Blue,Pink","10LB,11LB,12LB,13LB,14LB,15LB,16LB",,
SWAG Archive Unlimited Rare Series Bowling Ball,https://www.bowlersmart.com/product/swag-archive-unlimited-rare-series-bowling-ball/,https://www.bowlersmart.com/wp-content/uploads/2025/05/SWAG-archive-unlimited-ball-600-may2025.webp?w=300&h=300&crop=1,$289.95,$179.95,15 lbs,10 × 10 × 10 in,SWAG,Hybrid Reactive,SWAG USY3 Hybrid Reactive,Swag Archive Core,Asymmetrical Core,2.55,.049,.034,5 – 6 Inches,2000 Grit,None,Medium – Heavy Oil,"High Performance Bowling Balls,SWAG Advanced Tech",Blue,"13LB,14LB,15LB",,
Roto Grip Ultimate Wrecker Bowling Ball,https://www.bowlersmart.com/product/roto-grip-ultimate-wrecker-bowling-ball/,https://www.bowlersmart.com/wp-content/uploads/2025/05/Ultimate-Wrecker_NoShadow_729.jpg?w=300&h=300&crop=1,$239.95,$129.95,15 lbs,10 × 10 × 10 in,Roto Grip,Hybrid Reactive,Roto Grip PURE Response Hybrid Reactive,Roto Grip Wrecker A.I. Core,Symmetrical Core,2.54,.045,N/A,3 – 4 Inches,Storm Power Edge,None,Medium Oil,"Performance Bowling Balls,Roto Grip HP2 Bowling Balls","Gold,Red","10LB,11LB,12LB,13LB,14LB,15LB,16LB",May 2025,
Roto Grip Hustle Glow Bowling Ball,https://www.bowlersmart.com/product/roto-grip-hustle-glow-bowling-ball/,https://www.bowlersmart.com/wp-content/uploads/2025/05/Hustle-Glow_NoShadow729.jpg?w=300&h=300&crop=1,$229.95,$109.95,15 lbs,10 × 10 × 10 in,Roto Grip,Hybrid Reactive,Roto Grip VTC Hybrid Reactive,Roto Grip Hustle Core,Symmetrical Core,2.53,.030,N/A,3 – 4 Inches,Storm Reacta Gloss,None,"Dry – Medium Oil,Medium Oil","Performance Bowling Balls,Roto Grip HP1 Bowling Balls","Blue,Red","10LB,11LB,12LB,13LB,14LB,15LB,16LB",May 2025,
Roto Grip Hustle Earth Bowling Ball,https://www.bowlersmart.com/product/roto-grip-hustle-earth-bowling-ball/,https://www.bowlersmart.com/wp-content/uploads/2025/05/Hustle-EARTH_NoShadow-729.jpg?w=300&h=300&crop=1,$229.95,$109.95,15 lbs,10 × 10 × 10 in,Roto Grip,Hybrid Reactive,Roto Grip VTC Hybrid Reactive,Roto Grip Hustle Core,Symmetrical Core,2.53,.030,N/A,3 – 4 Inches,Storm Reacta Gloss,None,"Dry – Medium Oil,Medium Oil","Performance Bowling Balls,Roto Grip HP1 Bowling Balls","Blue,Red","10LB,11LB,12LB,13LB,14LB,15LB,16LB",May 2025,
Ebonite Turbo X Bowling Ball,https://www.bowlersmart.com/product/ebonite-turbo-x-bowling-ball/,https://www.bowlersmart.com/wp-content/uploads/2025/04/Ebonite-Turbo-X-Bowling-Ball.webp?w=300&h=300&crop=1,$229.95,$144.95,15 lbs,9 × 9 × 9 in,Ebonite,Reactive,Ebonite GB 10.7 Solid Reactive,Ebonite Enhanced V2 Core,Symmetrical Core,2.51,.040,N/A,4 – 5 Inches,1500 Grit + Factory Compound,,Medium – Heavy Oil,"Ebonite Pro Performance Bowling Balls,Mid Performance Bowling Balls",Purple,"12LB,13LB,14LB,15LB,16LB",May 2025,
Hammer Hazmat Pearl Bowling Ball,https://www.bowlersmart.com/product/hammer-hazmat-pearl-bowling-ball/,https://www.bowlersmart.com/wp-content/uploads/2025/04/Hazmat_Pearl_720x720.jpg?w=300&h=300&crop=1,$279.95,$169.95,15 lbs,10 × 10 × 10 in,Hammer,Pearl Reactive,Hammer Semtex Solid Reactive,Hammer Hazmat Core,Symmetrical Core,2.47,.055,N/A,4 – 5 Inches,1500 Grit + Factory Compound,N/A,Medium – Heavy Oil,"Hammer Upper Mid Performance Bowling Balls,High Performance Bowling Balls","Blue,White","12LB,13LB,14LB,15LB,16LB",May 2025,
